,formatted_block,geo_code,district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
150,朝阳区聚福苑,"116.556457,39.916427",朝阳区,www.ziroom.com/x/611884240.html,聚福苑,3,南,10.0,5/27,传媒大学站,989,2360,False
151,朝阳区沁园小区,"116.455155,39.995801",朝阳区,www.ziroom.com/x/623555122.html,沁园小区,4,北,11.7,9/12,常营站,961,2360,False
152,朝阳区泰福苑D2区,"116.501991,39.923084",朝阳区,www.ziroom.com/x/712459068.html,泰福苑D2区,3,北,9.5,18/27,黄渠站,664,2360,False
153,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/719483905.html,北京像素北区,3,西北,10.0,7/13,草房站,349,2390,False
154,朝阳区康泉小区,"116.610228,39.900102",朝阳区,www.ziroom.com/x/719805945.html,康泉小区,3,南,18.39,1/28,八里桥站,1173,2460,False
155,朝阳区金隅康惠园2号院,"116.581860,39.905616",朝阳区,www.ziroom.com/x/807906766.html,金隅康惠园2号院,3,西,9.9,16/20,双桥站,933,2360,False
156,朝阳区金隅康惠园2号院,"116.581860,39.905616",朝阳区,www.ziroom.com/x/784467988.html,金隅康惠园2号院,3,西,12.7,11/21,双桥站,933,2390,False
157,朝阳区京铁新苑,"116.601144,39.948574",朝阳区,www.ziroom.com/x/747101260.html,京铁新苑,3,南,11.7,7/12,双桥站,1683,2360,False
158,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/791908082.html,北京像素北区,3,西,10.23,3/14,草房站,349,2390,False
159,朝阳区南平里,"116.596677,40.044062",朝阳区,www.ziroom.com/x/722786561.html,南平里,3,南,20.0,3/6,T3航站楼站,2463,2360,False
160,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/792737626.html,北京像素北区,4,东,10.55,11/17,草房站,349,2390,False
161,朝阳区瑞祥里,"116.614159,39.911980",朝阳区,www.ziroom.com/x/754269657.html,瑞祥里,3,南,11.9,5/6,八里桥站,1402,2370,True
162,朝阳区翠成馨园C区,"116.499522,39.865741",朝阳区,www.ziroom.com/x/735930740.html,翠成馨园C区,4,北,10.1,15/18,垡头站,648,2360,True
163,朝阳区瑞祥里,"116.614159,39.911980",朝阳区,www.ziroom.com/x/807860734.html,瑞祥里,3,西,13.6,9/10,八里桥站,1402,2390,False
164,朝阳区泰福苑D3区,"116.502061,39.923045",朝阳区,www.ziroom.com/x/720117315.html,泰福苑D3区,3,北,9.49,5/27,黄渠站,694,2360,False
165,朝阳区苹果派,"116.578150,39.929918",朝阳区,www.ziroom.com/x/733970467.html,苹果派,3,南,11.0,3/12,黄渠站,854,2390,False
166,朝阳区鸿博家园F区二期,"116.453023,39.826591",朝阳区,www.ziroom.com/x/752457018.html,鸿博家园F区二期,3,南,11.6,1/28,小红门站,705,2430,False
167,朝阳区苹果派,"116.578150,39.929918",朝阳区,www.ziroom.com/x/725709074.html,苹果派,3,南,8.9,6/10,黄渠站,854,2360,True
168,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/764034841.html,北京像素北区,4,东南,11.8,5/13,草房站,349,2430,False
